customer_id,company_name,city,country
ALFKI,Alfreds Futterkiste,Berlin,Germany
ANATR,Ana Trujillo Emparedados y helados,México D.F.,Mexico
ANTON,Antonio Moreno Taquería,México D.F.,Mexico
AROUT,Around the Horn,London,UK
BERGS,Berglunds snabbköp,Luleå,Sweden
BLAUS,Blauer See Delikatessen,Mannheim,Germany
BLONP,Blondesddsl père et fils,Strasbourg,France
BOLID,Bólido Comidas preparadas,Madrid,Spain
BONAP,Bon app',Marseille,France
BOTTM,Bottom-Dollar Markets,Tsawassen,Canada
BSBEV,B's Beverages,London,UK
CACTU,Cactus Comidas para llevar,Buenos Aires,Argentina
CENTC,Centro comercial Moctezuma,México D.F.,Mexico
CHOPS,Chop-suey Chinese,Bern,Switzerland
COMMI,Comércio Mineiro,Sao Paulo,Brazil
CONSH,Consolidated Holdings,London,UK
DRACD,Drachenblut Delikatessen,Aachen,Germany
DUMON,Du monde entier,Nantes,France
EASTC,Eastern Connection,London,UK
ERNSH,Ernst Handel,Graz,Austria
FAMIA,Familia Arquibaldo,Sao Paulo,Brazil
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Madrid,Spain
FOLIG,Folies gourmandes,Lille,France
FOLKO,Folk och fä HB,Bräcke,Sweden
FRANK,Frankenversand,München,Germany
FRANR,France restauration,Nantes,France
FRANS,Franchi S.p.A.,Torino,Italy
FURIB,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal
GALED,Galería del gastrónomo,Barcelona,Spain
GODOS,Godos Cocina Típica,Sevilla,Spain
GOURL,Gourmet Lanchonetes,Campinas,Brazil
GREAL,Great Lakes Food Market,Eugene,USA
GROSR,GROSELLA-Restaurante,Caracas,Venezuela
HANAR,Hanari Carnes,Rio de Janeiro,Brazil
HILAA,HILARION-Abastos,San Cristóbal,Venezuela
HUNGC,Hungry Coyote Import Store,Elgin,USA
HUNGO,Hungry Owl All-Night Grocers,Cork,Ireland
ISLAT,Island Trading,Cowes,UK
KOENE,Königlich Essen,Brandenburg,Germany
LACOR,La corne d'abondance,Versailles,France
LAMAI,La maison d'Asie,Toulouse,France
LAUGB,Laughing Bacchus Wine Cellars,Vancouver,Canada
LAZYK,Lazy K Kountry Store,Walla Walla,USA
LEHMS,Lehmanns Marktstand,Frankfurt a.M.,Germany
LETSS,Let's Stop N Shop,San Francisco,USA
LILAS,LILA-Supermercado,Barquisimeto,Venezuela
LINOD,LINO-Delicateses,I. de Margarita,Venezuela
LONEP,Lonesome Pine Restaurant,Portland,USA
MAGAA,Magazzini Alimentari Riuniti,Bergamo,Italy
MAISD,Maison Dewey,Bruxelles,Belgium
MEREP,Mère Paillarde,Montréal,Canada
MORGK,Morgenstern Gesundkost,Leipzig,Germany
NORTS,North/South,London,UK
OCEAN,Océano Atlántico Ltda.,Buenos Aires,Argentina
OLDWO,Old World Delicatessen,Anchorage,USA
OTTIK,Ottilies Käseladen,Köln,Germany
PARIS,Paris spécialités,Paris,France
PERIC,Pericles Comidas clásicas,México D.F.,Mexico
PICCO,Piccolo und mehr,Salzburg,Austria
PRINI,Princesa Isabel Vinhos,Lisboa,Portugal
QUEDE,Que Delícia,Rio de Janeiro,Brazil
QUEEN,Queen Cozinha,Sao Paulo,Brazil
QUICK,QUICK-Stop,Cunewalde,Germany
RANCH,Rancho grande,Buenos Aires,Argentina
RATTC,Rattlesnake Canyon Grocery,Albuquerque,USA
REGGC,Reggiani Caseifici,Reggio Emilia,Italy
RICAR,Ricardo Adocicados,Rio de Janeiro,Brazil
RICSU,Richter Supermarkt,Genève,Switzerland
ROMEY,Romero y tomillo,Madrid,Spain
SANTG,Santé Gourmet,Stavern,Norway
SAVEA,Save-a-lot Markets,Boise,USA
SEVES,Seven Seas Imports,London,UK
SIMOB,Simons bistro,Kobenhavn,Denmark
SPECD,Spécialités du monde,Paris,France
SPLIR,Split Rail Beer & Ale,Lander,USA
SUPRD,Suprêmes délices,Charleroi,Belgium
THEBI,The Big Cheese,Portland,USA
THECR,The Cracker Box,Butte,USA
TOMSP,Toms Spezialitäten,Münster,Germany
TORTU,Tortuga Restaurante,México D.F.,Mexico
TRADH,Tradição Hipermercados,Sao Paulo,Brazil
TRAIH,Trail's Head Gourmet Provisioners,Kirkland,USA
VAFFE,Vaffeljernet,Århus,Denmark
VICTE,Victuailles en stock,Lyon,France
VINET,Vins et alcools Chevalier,Reims,France
WANDK,Die Wandernde Kuh,Stuttgart,Germany
WARTH,Wartian Herkku,Oulu,Finland
WELLI,Wellington Importadora,Resende,Brazil
WHITC,White Clover Markets,Seattle,USA
WILMK,Wilman Kala,Helsinki,Finland
WOLZA,Wolski  Zajazd,Warszawa,Poland
